Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (-428.98 25.48 -81.74)",1,0,99,"(-428.98, 25.48, -81.74)"
Spawn Point Wander,"Spawn Point (-308.17 13.84 -411.28)",1,0,99,"(-308.17, 13.84, -411.28)"
Spawn Point Wander,"Spawn Point (230.14 26.90 -320.14)",1,0,99,"(230.14, 26.90, -320.14)"
Spawn Point Wander,"Spawn Point (61.22 9.03 -657.75)",1,0,99,"(61.22, 9.03, -657.75)"
Spawn Point Wander,"Spawn Point (-117.59 11.94 -729.39)",1,0,99,"(-117.59, 11.94, -729.39)"
Spawn Point Wander,"Spawn Point (418.41 -6.20 14.30)",1,0,99,"(418.41, -6.20, 14.30)"
Spawn Point Wander,"Spawn Point (465.96 -15.04 176.27)",1,0,99,"(465.96, -15.04, 176.27)"
Spawn Point Wander,"Spawn Point (-253.65 26.77 -431.91)",1,0,99,"(-253.65, 26.77, -431.91)"
Spawn Point Wander,"Spawn Point (-139.96 30.81 -191.76)",1,0,99,"(-139.96, 30.81, -191.76)"
Spawn Point Wander,"Spawn Point (280.78 -11.91 319.28)",1,0,99,"(280.78, -11.91, 319.28)"
Spawn Point Wander,"Spawn Point (-267.23 24.68 -489.12)",1,0,99,"(-267.23, 24.68, -489.12)"
Spawn Point Wander,"Spawn Point (218.60 -12.26 279.40)",1,0,99,"(218.60, -12.26, 279.40)"
Spawn Point Wander,"Spawn Point (-525.07 -2.56 216.00)",1,0,99,"(-525.07, -2.56, 216.00)"
Spawn Point Wander,"Spawn Point (309.93 14.57 -576.86)",1,0,99,"(309.93, 14.57, -576.86)"
Spawn Point Wander,"Spawn Point (-181.32 34.06 -164.09)",1,0,99,"(-181.32, 34.06, -164.09)"
Spawn Point Wander,"Spawn Point (-517.12 14.18 -160.30)",1,0,99,"(-517.12, 14.18, -160.30)"
Spawn Point Wander,"Spawn Point (-539.87 -1.19 294.67)",1,0,99,"(-539.87, -1.19, 294.67)"
Spawn Point Wander,"Spawn Point (466.76 -14.91 174.25)",1,0,99,"(466.76, -14.91, 174.25)"
Spawn Point Wander,"Spawn Point (-92.95 -1.13 385.31)",1,0,99,"(-92.95, -1.13, 385.31)"
Spawn Point Wander,"Spawn Point (2.75 14.79 -777.28)",1,0,99,"(2.75, 14.79, -777.28)"
Spawn Point Wander,"Spawn Point (-162.85 0.73 435.96)",1,0,99,"(-162.85, 0.73, 435.96)"
Spawn Point Wander,"Spawn Point (388.49 13.16 -407.26)",1,0,99,"(388.49, 13.16, -407.26)"
Spawn Point Wander,"Spawn Point (-492.41 20.59 -50.23)",1,0,99,"(-492.41, 20.59, -50.23)"
Spawn Point Wander,"Spawn Point (-523.60 9.85 93.04)",1,0,99,"(-523.60, 9.85, 93.04)"
Spawn Point Wander,"Spawn Point (464.75 -14.77 174.27)",1,0,99,"(464.75, -14.77, 174.27)"
Spawn Point Wander,"Spawn Point (-330.93 20.01 -142.31)",1,0,99,"(-330.93, 20.01, -142.31)"
Spawn Point Wander,"Spawn Point (-512.94 12.08 -149.89)",1,0,99,"(-512.94, 12.08, -149.89)"
Spawn Point Wander,"Spawn Point (-663.53 8.02 169.03)",1,0,99,"(-663.53, 8.02, 169.03)"
Spawn Point Wander,"Spawn Point (-408.96 12.58 -513.01)",1,0,99,"(-408.96, 12.58, -513.01)"
Spawn Point Wander,"Spawn Point (-439.40 15.32 -334.68)",1,0,99,"(-439.40, 15.32, -334.68)"
Spawn Point Wander,"Spawn Point (-130.62 13.05 -623.17)",1,0,99,"(-130.62, 13.05, -623.17)"
Spawn Point Wander,"Spawn Point (213.47 -14.69 291.96)",1,0,99,"(213.47, -14.69, 291.96)"
Spawn Point Wander,"Spawn Point (-361.25 1.04 237.99)",1,0,99,"(-361.25, 1.04, 237.99)"
Spawn Point Wander,"Spawn Point (-256.11 27.94 -203.92)",1,0,99,"(-256.11, 27.94, -203.92)"
Spawn Point Wander,"Spawn Point (269.67 17.01 -758.63)",1,0,99,"(269.67, 17.01, -758.63)"
Spawn Point Wander,"Spawn Point (-155.22 18.26 -620.36)",1,0,99,"(-155.22, 18.26, -620.36)"
Spawn Point Wander,"Spawn Point (-611.92 14.70 -331.79)",1,0,99,"(-611.92, 14.70, -331.79)"
Spawn Point Wander,"Spawn Point (-63.67 9.71 -581.03)",1,0,99,"(-63.67, 9.71, -581.03)"
Spawn Point Wander,"Spawn Point (-270.10 20.65 -439.83)",1,0,99,"(-270.10, 20.65, -439.83)"
Spawn Point Wander,"Spawn Point (-697.68 8.27 103.45)",1,0,99,"(-697.68, 8.27, 103.45)"
Spawn Point Wander,"Spawn Point (135.05 8.54 -174.15)",1,0,99,"(135.05, 8.54, -174.15)"
Spawn Point Wander,"Spawn Point (312.04 22.97 -487.32)",1,0,99,"(312.04, 22.97, -487.32)"
Spawn Point Wander,"Spawn Point (-256.58 10.61 -637.55)",1,0,99,"(-256.58, 10.61, -637.55)"
Spawn Point Wander,"Spawn Point (414.25 -5.71 12.95)",1,0,99,"(414.25, -5.71, 12.95)"
Spawn Point Wander,"Spawn Point (310.52 22.97 -523.04)",1,0,99,"(310.52, 22.97, -523.04)"
Spawn Point Wander,"Spawn Point (-254.19 28.18 -207.90)",1,0,99,"(-254.19, 28.18, -207.90)"
Spawn Point Wander,"Spawn Point (279.77 -12.32 314.40)",1,0,99,"(279.77, -12.32, 314.40)"
Spawn Point Wander,"Spawn Point (63.22 -7.55 35.22)",1,0,99,"(63.22, -7.55, 35.22)"
Spawn Point Wander,"Spawn Point (418.01 -6.11 11.94)",1,0,99,"(418.01, -6.11, 11.94)"
Spawn Point Wander,"Spawn Point (-486.63 0.25 330.58)",1,0,99,"(-486.63, 0.25, 330.58)"
Spawn Point Wander,"Spawn Point (-334.61 20.32 -140.88)",1,0,99,"(-334.61, 20.32, -140.88)"
Spawn Point Wander,"Spawn Point (307.94 -0.59 -159.81)",1,0,99,"(307.94, -0.59, -159.81)"
Spawn Point Wander,"Spawn Point (-298.83 15.95 -388.75)",1,0,99,"(-298.83, 15.95, -388.75)"
Spawn Point Wander,"Spawn Point (-678.86 8.27 109.95)",1,0,99,"(-678.86, 8.27, 109.95)"
Spawn Point Wander,"Spawn Point (-678.98 8.27 106.48)",1,0,99,"(-678.98, 8.27, 106.48)"
Spawn Point Wander,"Spawn Point (-260.32 11.27 -631.89)",1,0,99,"(-260.32, 11.27, -631.89)"
Spawn Point Wander,"Spawn Point (-86.89 7.95 -752.65)",1,0,99,"(-86.89, 7.95, -752.65)"
Spawn Point Wander,"Spawn Point (-525.09 -2.59 218.24)",1,0,99,"(-525.09, -2.59, 218.24)"
Spawn Point Wander,"Spawn Point (-23.70 9.08 -779.76)",1,0,99,"(-23.70, 9.08, -779.76)"
Spawn Point Wander,"Spawn Point (280.46 7.96 -665.38)",1,0,99,"(280.46, 7.96, -665.38)"
Spawn Point Wander,"Spawn Point (242.89 1.51 -164.25)",1,0,99,"(242.89, 1.51, -164.25)"
Spawn Point Wander,"Spawn Point (-701.05 8.21 141.77)",1,0,99,"(-701.05, 8.21, 141.77)"
Spawn Point Wander,"Spawn Point (-610.33 8.34 140.90)",1,0,99,"(-610.33, 8.34, 140.90)"
Spawn Point Wander,"Spawn Point (59.18 8.88 -659.51)",1,0,99,"(59.18, 8.88, -659.51)"
Spawn Point Wander,"Spawn Point (187.10 3.38 -149.56)",1,0,99,"(187.10, 3.38, -149.56)"
Spawn Point Wander,"Spawn Point (-171.68 14.81 -617.70)",1,0,99,"(-171.68, 14.81, -617.70)"
Spawn Point Wander,"Spawn Point (-90.10 -0.50 377.36)",1,0,99,"(-90.10, -0.50, 377.36)"
Spawn Point Wander,"Spawn Point (-174.46 9.39 -713.93)",1,0,99,"(-174.46, 9.39, -713.93)"
Spawn Point Wander,"Spawn Point (-439.99 15.52 -325.17)",1,0,99,"(-439.99, 15.52, -325.17)"
Spawn Point Wander,"Spawn Point (-108.48 10.13 -609.90)",1,0,99,"(-108.48, 10.13, -609.90)"
Spawn Point Wander,"Spawn Point (370.77 13.90 -700.12)",1,0,99,"(370.77, 13.90, -700.12)"
Spawn Point Wander,"Spawn Point (369.83 17.62 -597.53)",1,0,99,"(369.83, 17.62, -597.53)"
Spawn Point Wander,"Spawn Point (-359.34 0.94 236.44)",1,0,99,"(-359.34, 0.94, 236.44)"
Spawn Point Wander,"Spawn Point (375.81 -1.05 -115.25)",1,0,99,"(375.81, -1.05, -115.25)"
Spawn Point Wander,"Spawn Point (-413.22 11.70 -522.43)",1,0,99,"(-413.22, 11.70, -522.43)"
Spawn Point Wander,"Spawn Point (-684.59 9.39 131.60)",1,0,99,"(-684.59, 9.39, 131.60)"
Spawn Point Wander,"Spawn Point (-389.72 14.55 -423.34)",1,0,99,"(-389.72, 14.55, -423.34)"
Spawn Point Wander,"Spawn Point (311.26 16.82 -538.23)",1,0,99,"(311.26, 16.82, -538.23)"
Spawn Point Wander,"Spawn Point (-103.43 23.22 -214.55)",1,0,99,"(-103.43, 23.22, -214.55)"
Spawn Point Wander,"Spawn Point (-491.46 20.58 -45.23)",1,0,99,"(-491.46, 20.58, -45.23)"
Spawn Point Wander,"Spawn Point (263.90 17.31 -762.50)",1,0,99,"(263.90, 17.31, -762.50)"
Spawn Point Wander,"Spawn Point (-199.91 33.54 -193.46)",1,0,99,"(-199.91, 33.54, -193.46)"
Spawn Point Wander,"Spawn Point (59.83 8.79 -654.54)",1,0,99,"(59.83, 8.79, -654.54)"
Spawn Point Wander,"Spawn Point (-308.06 13.84 -410.29)",1,0,99,"(-308.06, 13.84, -410.29)"
Spawn Point Wander,"Spawn Point (368.60 16.83 -588.06)",1,0,99,"(368.60, 16.83, -588.06)"
Spawn Point Wander,"Spawn Point (418.45 -6.08 9.01)",1,0,99,"(418.45, -6.08, 9.01)"
Spawn Point Wander,"Spawn Point (367.12 13.24 -703.00)",1,0,99,"(367.12, 13.24, -703.00)"
Spawn Point Wander,"Spawn Point (299.45 12.61 -566.00)",1,0,99,"(299.45, 12.61, -566.00)"
Spawn Point Wander,"Spawn Point (-441.50 0.24 344.80)",1,0,99,"(-441.50, 0.24, 344.80)"
Spawn Point Wander,"Spawn Point (-540.68 -1.06 297.02)",1,0,99,"(-540.68, -1.06, 297.02)"
Spawn Point Wander,"Spawn Point (157.49 24.38 -690.61)",1,0,99,"(157.49, 24.38, -690.61)"
Spawn Point Wander,"Spawn Point (-273.26 -1.60 333.25)",1,0,99,"(-273.26, -1.60, 333.25)"
Spawn Point Wander,"Spawn Point (-615.80 14.69 -333.95)",1,0,99,"(-615.80, 14.69, -333.95)"
Spawn Point Wander,"Spawn Point (-517.32 14.94 -365.99)",1,0,99,"(-517.32, 14.94, -365.99)"
Spawn Point Wander,"Spawn Point (-252.11 27.05 -205.01)",1,0,99,"(-252.11, 27.05, -205.01)"
Spawn Point Wander,"Spawn Point (-413.12 16.00 -350.74)",1,0,99,"(-413.12, 16.00, -350.74)"
Spawn Point Wander,"Spawn Point (9.66 15.71 -780.57)",1,0,99,"(9.66, 15.71, -780.57)"
Spawn Point Wander,"Spawn Point (-334.02 17.57 -136.20)",1,0,99,"(-334.02, 17.57, -136.20)"
Spawn Point Wander,"Spawn Point (-170.87 0.93 431.87)",1,0,99,"(-170.87, 0.93, 431.87)"
Spawn Point Wander,"Spawn Point (299.01 23.17 -457.40)",1,0,99,"(299.01, 23.17, -457.40)"
Spawn Point Wander,"Spawn Point (-94.08 -1.31 387.77)",1,0,99,"(-94.08, -1.31, 387.77)"
Spawn Point Wander,"Spawn Point (-532.56 -0.49 254.20)",1,0,99,"(-532.56, -0.49, 254.20)"
Spawn Point Wander,"Spawn Point (-507.00 24.64 -276.79)",1,0,99,"(-507.00, 24.64, -276.79)"
Spawn Point Wander,"Spawn Point (-93.54 -0.88 382.53)",1,0,99,"(-93.54, -0.88, 382.53)"
Spawn Point Wander,"Spawn Point (-490.46 20.67 -46.99)",1,0,99,"(-490.46, 20.67, -46.99)"
Spawn Point Wander,"Spawn Point (-12.29 13.80 -229.31)",1,0,99,"(-12.29, 13.80, -229.31)"
Spawn Point Wander,"Spawn Point (226.49 -8.28 198.98)",1,0,99,"(226.49, -8.28, 198.98)"
Spawn Point Wander,"Spawn Point (-418.82 11.87 -515.23)",1,0,99,"(-418.82, 11.87, -515.23)"
Spawn Point Wander,"Spawn Point (368.87 -1.65 -67.46)",1,0,99,"(368.87, -1.65, -67.46)"
Spawn Point Wander,"Spawn Point (-519.41 7.28 154.59)",1,0,99,"(-519.41, 7.28, 154.59)"
Spawn Point Wander,"Spawn Point (-171.64 1.04 432.26)",1,0,99,"(-171.64, 1.04, 432.26)"
Spawn Point Wander,"Spawn Point (-517.55 7.28 153.67)",1,0,99,"(-517.55, 7.28, 153.67)"
Spawn Point Wander,"Spawn Point (-509.56 11.97 -147.49)",1,0,99,"(-509.56, 11.97, -147.49)"
Spawn Point Wander,"Spawn Point (-648.86 8.34 119.97)",1,0,99,"(-648.86, 8.34, 119.97)"
Spawn Point Wander,"Spawn Point (-152.96 0.37 434.83)",1,0,99,"(-152.96, 0.37, 434.83)"
Spawn Point Wander,"Spawn Point (365.98 4.37 -8.88)",1,0,99,"(365.98, 4.37, -8.88)"
Spawn Point Wander,"Spawn Point (72.91 11.85 -220.45)",1,0,99,"(72.91, 11.85, -220.45)"
Spawn Point Wander,"Spawn Point (-538.64 -0.96 297.58)",1,0,99,"(-538.64, -0.96, 297.58)"
Spawn Point Wander,"Spawn Point (102.62 7.21 -152.19)",1,0,99,"(102.62, 7.21, -152.19)"
Spawn Point Wander,"Spawn Point (179.00 18.14 -771.42)",1,0,99,"(179.00, 18.14, -771.42)"
Spawn Point Wander,"Spawn Point (-416.22 15.77 -434.29)",1,0,99,"(-416.22, 15.77, -434.29)"
Spawn Point Wander,"Spawn Point (-704.72 8.19 102.04)",1,0,99,"(-704.72, 8.19, 102.04)"
Spawn Point Wander,"Spawn Point (229.97 -7.80 200.65)",1,0,99,"(229.97, -7.80, 200.65)"
Spawn Point Wander,"Spawn Point (-658.14 10.96 114.23)",1,0,99,"(-658.14, 10.96, 114.23)"
Spawn Point Wander,"Spawn Point (-710.12 8.21 129.20)",1,0,99,"(-710.12, 8.21, 129.20)"
Spawn Point Wander,"Spawn Point (355.30 -0.35 -91.51)",1,0,99,"(355.30, -0.35, -91.51)"
Spawn Point Wander,"Spawn Point (90.27 -15.82 116.15)",1,0,99,"(90.27, -15.82, 116.15)"
Spawn Point Wander,"Spawn Point (-252.25 27.47 -207.40)",1,0,99,"(-252.25, 27.47, -207.40)"
Spawn Point Wander,"Spawn Point (-277.30 30.90 -196.40)",1,0,99,"(-277.30, 30.90, -196.40)"
Spawn Point Wander,"Spawn Point (-616.79 14.49 -324.47)",1,0,99,"(-616.79, 14.49, -324.47)"
Spawn Point Wander,"Spawn Point (-529.60 11.27 85.98)",1,0,99,"(-529.60, 11.27, 85.98)"
Spawn Point Wander,"Spawn Point (-275.78 7.47 -417.59)",1,0,99,"(-275.78, 7.47, -417.59)"
Spawn Point Wander,"Spawn Point (-49.76 8.01 -766.39)",1,0,99,"(-49.76, 8.01, -766.39)"
Spawn Point Wander,"Spawn Point (517.98 -20.90 260.66)",1,0,99,"(517.98, -20.90, 260.66)"
Spawn Point Wander,"Spawn Point (281.70 8.24 -668.62)",1,0,99,"(281.70, 8.24, -668.62)"
Spawn Point Wander,"Spawn Point (-492.60 20.60 -48.02)",1,0,99,"(-492.60, 20.60, -48.02)"
Spawn Point Wander,"Spawn Point (-357.55 0.86 237.46)",1,0,99,"(-357.55, 0.86, 237.46)"
Spawn Point Wander,"Spawn Point (-531.61 7.19 157.21)",1,0,99,"(-531.61, 7.19, 157.21)"
Spawn Point Wander,"Spawn Point (-91.26 -0.55 379.36)",1,0,99,"(-91.26, -0.55, 379.36)"
Spawn Point Wander,"Spawn Point (-272.01 -2.08 329.42)",1,0,99,"(-272.01, -2.08, 329.42)"
Spawn Point Wander,"Spawn Point (307.81 12.62 -553.24)",1,0,99,"(307.81, 12.62, -553.24)"
Spawn Point Wander,"Spawn Point (-673.85 8.27 104.31)",1,0,99,"(-673.85, 8.27, 104.31)"
Spawn Point Wander,"Spawn Point (-522.71 -2.58 216.57)",1,0,99,"(-522.71, -2.58, 216.57)"
Spawn Point Wander,"Spawn Point (-294.37 13.76 -419.76)",1,0,99,"(-294.37, 13.76, -419.76)"
