Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Отвлекающий маневр. Часть 1,"Zone quest_city_trotil1",2,3,13,"(-260.59, 2.73, 136.96)"
Ключ от города,"Item Сувенирный ключ от города Тарков",1,27,56,"(248.33, -4.19, 54.67)"
Новые маршруты,"Zone Check_primorsky",1,17,39,"(-0.89, 2.15, 398.73)"
Новые маршруты,"Zone Check_cinema",1,17,39,"(-158.52, 5.03, 402.39)"
Непарадный Тарков,"Zone Labs_transits",1,12,29,"(217.57, -5.01, 77.56)"
Что-то мне это напоминает...,"Zone Zone_mutant",2,25,53,"(-264.45, -2.36, 207.43)"
Что-то мне это напоминает...,"Zone Zone_silient_hill_ward",2,25,53,"(182.81, 2.24, 111.74)"
Что-то мне это напоминает...,"Zone Zone_death_strending",2,25,53,"(180.67, -0.16, 227.77)"
Что-то мне это напоминает...,"Zone Zone_silient_toilet",2,25,53,"(209.46, 0.30, 230.27)"
Дело техники,"Zone halloween_unlock_pc",2,2,11,"(53.28, 1.48, -80.48)"
Образец №4. Новая надежда,"Zone quest_city_trotil2",2,2,11,"(67.84, 2.60, 311.92)"
Отклонение от маршрута,"Zone Mark_BTR_1",1,20,45,"(194.92, 3.41, 256.84)"
Отклонение от маршрута,"Zone Mark_BTR_2",1,20,45,"(114.50, -2.37, 27.00)"
Отклонение от маршрута,"Zone Mark_BTR_3",1,20,45,"(-131.70, 1.37, 65.44)"
Отклонение от маршрута,"Zone Mark_BTR_4",1,20,45,"(-13.13, 2.26, 218.33)"
Отклонение от маршрута,"Zone Mark_BTR_5",1,20,45,"(-232.56, 2.28, 236.90)"
Отклонение от маршрута,"Zone Mark_BTR_6",1,20,45,"(-137.69, 2.55, 399.34)"
Данные переписи,"Item Журнал ЖКУ",1,28,57,"(84.08, 0.91, 124.39)"
Spawn Point Wander,"Spawn Point (142.93 6.69 361.24)",1,0,99,"(142.93, 6.69, 361.24)"
Spawn Point Wander,"Spawn Point (203.78 1.17 190.65)",1,0,99,"(203.78, 1.17, 190.65)"
Spawn Point Wander,"Spawn Point (204.66 3.55 404.31)",1,0,99,"(204.66, 3.55, 404.31)"
Spawn Point Wander,"Spawn Point (63.70 0.27 -55.24)",1,0,99,"(63.70, 0.27, -55.24)"
Spawn Point Wander,"Spawn Point (-133.32 0.61 -26.73)",1,0,99,"(-133.32, 0.61, -26.73)"
Spawn Point Wander,"Spawn Point (39.26 2.83 200.38)",1,0,99,"(39.26, 2.83, 200.38)"
Spawn Point Wander,"Spawn Point (204.58 6.91 297.10)",1,0,99,"(204.58, 6.91, 297.10)"
Spawn Point Wander,"Spawn Point (171.99 0.54 153.19)",1,0,99,"(171.99, 0.54, 153.19)"
Spawn Point Wander,"Spawn Point (-178.51 2.45 415.02)",1,0,99,"(-178.51, 2.45, 415.02)"
Spawn Point Wander,"Spawn Point (184.82 2.53 186.99)",1,0,99,"(184.82, 2.53, 186.99)"
Spawn Point Wander,"Spawn Point (100.71 -1.85 -162.53)",1,0,99,"(100.71, -1.85, -162.53)"
Spawn Point Wander,"Spawn Point (53.18 4.53 -138.59)",1,0,99,"(53.18, 4.53, -138.59)"
Spawn Point Wander,"Spawn Point (58.91 2.65 324.24)",1,0,99,"(58.91, 2.65, 324.24)"
Spawn Point Wander,"Spawn Point (53.22 4.78 -130.65)",1,0,99,"(53.22, 4.78, -130.65)"
Spawn Point Wander,"Spawn Point (232.64 3.49 409.53)",1,0,99,"(232.64, 3.49, 409.53)"
Spawn Point Wander,"Spawn Point (271.10 3.53 374.04)",1,0,99,"(271.10, 3.53, 374.04)"
Spawn Point Wander,"Spawn Point (-134.81 3.06 399.61)",1,0,99,"(-134.81, 3.06, 399.61)"
Spawn Point Wander,"Spawn Point (-163.93 3.16 183.07)",1,0,99,"(-163.93, 3.16, 183.07)"
Spawn Point Wander,"Spawn Point (-164.56 2.26 291.57)",1,0,99,"(-164.56, 2.26, 291.57)"
Spawn Point Wander,"Spawn Point (-59.84 3.20 -147.27)",1,0,99,"(-59.84, 3.20, -147.27)"
Spawn Point Wander,"Spawn Point (269.51 -1.23 379.56)",1,0,99,"(269.51, -1.23, 379.56)"
Spawn Point Wander,"Spawn Point (-50.20 5.15 -31.70)",1,0,99,"(-50.20, 5.15, -31.70)"
Spawn Point Wander,"Spawn Point (-84.27 1.46 177.89)",1,0,99,"(-84.27, 1.46, 177.89)"
Spawn Point Wander,"Spawn Point (224.56 0.53 182.24)",1,0,99,"(224.56, 0.53, 182.24)"
Spawn Point Wander,"Spawn Point (-147.78 14.90 -7.23)",1,0,99,"(-147.78, 14.90, -7.23)"
Spawn Point Wander,"Spawn Point (101.00 2.68 271.17)",1,0,99,"(101.00, 2.68, 271.17)"
Spawn Point Wander,"Spawn Point (211.14 -1.22 341.59)",1,0,99,"(211.14, -1.22, 341.59)"
Spawn Point Wander,"Spawn Point (226.77 0.46 218.89)",1,0,99,"(226.77, 0.46, 218.89)"
Spawn Point Wander,"Spawn Point (-231.98 2.31 345.00)",1,0,99,"(-231.98, 2.31, 345.00)"
Spawn Point Wander,"Spawn Point (228.89 4.01 176.28)",1,0,99,"(228.89, 4.01, 176.28)"
Spawn Point Wander,"Spawn Point (236.81 0.46 216.90)",1,0,99,"(236.81, 0.46, 216.90)"
Spawn Point Wander,"Spawn Point (39.04 2.85 203.36)",1,0,99,"(39.04, 2.85, 203.36)"
Spawn Point Wander,"Spawn Point (-74.66 0.94 75.15)",1,0,99,"(-74.66, 0.94, 75.15)"
Spawn Point Wander,"Spawn Point (-76.42 0.94 76.47)",1,0,99,"(-76.42, 0.94, 76.47)"
Spawn Point Wander,"Spawn Point (-59.86 3.74 -148.57)",1,0,99,"(-59.86, 3.74, -148.57)"
Spawn Point Wander,"Spawn Point (-47.52 0.61 -67.68)",1,0,99,"(-47.52, 0.61, -67.68)"
Spawn Point Wander,"Spawn Point (215.33 3.37 331.59)",1,0,99,"(215.33, 3.37, 331.59)"
Spawn Point Wander,"Spawn Point (208.56 3.94 296.64)",1,0,99,"(208.56, 3.94, 296.64)"
Spawn Point Wander,"Spawn Point (186.85 3.53 460.53)",1,0,99,"(186.85, 3.53, 460.53)"
Spawn Point Wander,"Spawn Point (-44.83 6.68 -114.22)",1,0,99,"(-44.83, 6.68, -114.22)"
Spawn Point Wander,"Spawn Point (209.97 -1.22 341.66)",1,0,99,"(209.97, -1.22, 341.66)"
Spawn Point Wander,"Spawn Point (-227.33 5.26 277.33)",1,0,99,"(-227.33, 5.26, 277.33)"
Spawn Point Wander,"Spawn Point (-58.21 3.21 -146.78)",1,0,99,"(-58.21, 3.21, -146.78)"
Spawn Point Wander,"Spawn Point (-16.31 2.76 -133.66)",1,0,99,"(-16.31, 2.76, -133.66)"
Spawn Point Wander,"Spawn Point (-132.87 14.90 -10.36)",1,0,99,"(-132.87, 14.90, -10.36)"
Spawn Point Wander,"Spawn Point (-136.86 2.57 399.57)",1,0,99,"(-136.86, 2.57, 399.57)"
Spawn Point Wander,"Spawn Point (-158.92 0.74 -27.77)",1,0,99,"(-158.92, 0.74, -27.77)"
Spawn Point Wander,"Spawn Point (214.87 -4.47 30.41)",1,0,99,"(214.87, -4.47, 30.41)"
Spawn Point Wander,"Spawn Point (-96.61 0.94 83.23)",1,0,99,"(-96.61, 0.94, 83.23)"
Spawn Point Wander,"Spawn Point (227.79 3.95 174.69)",1,0,99,"(227.79, 3.95, 174.69)"
Spawn Point Wander,"Spawn Point (60.70 0.52 169.49)",1,0,99,"(60.70, 0.52, 169.49)"
Spawn Point Wander,"Spawn Point (-170.34 2.26 287.44)",1,0,99,"(-170.34, 2.26, 287.44)"
Spawn Point Wander,"Spawn Point (232.68 -2.05 -103.15)",1,0,99,"(232.68, -2.05, -103.15)"
Spawn Point Wander,"Spawn Point (221.60 3.95 175.27)",1,0,99,"(221.60, 3.95, 175.27)"
Spawn Point Wander,"Spawn Point (85.81 5.40 348.52)",1,0,99,"(85.81, 5.40, 348.52)"
Spawn Point Wander,"Spawn Point (235.60 0.46 213.80)",1,0,99,"(235.60, 0.46, 213.80)"
Spawn Point Wander,"Spawn Point (256.02 -1.23 357.65)",1,0,99,"(256.02, -1.23, 357.65)"
Spawn Point Wander,"Spawn Point (137.99 -1.42 -55.09)",1,0,99,"(137.99, -1.42, -55.09)"
Spawn Point Wander,"Spawn Point (76.43 -0.63 86.18)",1,0,99,"(76.43, -0.63, 86.18)"
Spawn Point Wander,"Spawn Point (55.02 11.90 297.38)",1,0,99,"(55.02, 11.90, 297.38)"
Spawn Point Wander,"Spawn Point (-189.93 8.76 421.67)",1,0,99,"(-189.93, 8.76, 421.67)"
Spawn Point Wander,"Spawn Point (-134.49 2.52 399.62)",1,0,99,"(-134.49, 2.52, 399.62)"
Spawn Point Wander,"Spawn Point (-176.75 1.22 105.23)",1,0,99,"(-176.75, 1.22, 105.23)"
Spawn Point Wander,"Spawn Point (231.87 -2.05 -106.14)",1,0,99,"(231.87, -2.05, -106.14)"
Spawn Point Wander,"Spawn Point (-86.03 1.46 178.02)",1,0,99,"(-86.03, 1.46, 178.02)"
Spawn Point Wander,"Spawn Point (71.82 2.70 266.43)",1,0,99,"(71.82, 2.70, 266.43)"
Spawn Point Wander,"Spawn Point (164.55 0.54 138.12)",1,0,99,"(164.55, 0.54, 138.12)"
Spawn Point Wander,"Spawn Point (-205.12 3.37 182.11)",1,0,99,"(-205.12, 3.37, 182.11)"
Spawn Point Wander,"Spawn Point (187.06 1.57 189.56)",1,0,99,"(187.06, 1.57, 189.56)"
Spawn Point Wander,"Spawn Point (214.82 3.37 329.92)",1,0,99,"(214.82, 3.37, 329.92)"
Spawn Point Wander,"Spawn Point (-179.34 2.45 416.35)",1,0,99,"(-179.34, 2.45, 416.35)"
Spawn Point Wander,"Spawn Point (261.51 -5.94 49.98)",1,0,99,"(261.51, -5.94, 49.98)"
Spawn Point Wander,"Spawn Point (-16.87 2.63 242.27)",1,0,99,"(-16.87, 2.63, 242.27)"
Spawn Point Wander,"Spawn Point (-176.60 2.46 466.98)",1,0,99,"(-176.60, 2.46, 466.98)"
Spawn Point Wander,"Spawn Point (-70.74 1.46 154.22)",1,0,99,"(-70.74, 1.46, 154.22)"
Spawn Point Wander,"Spawn Point (271.36 -1.16 376.28)",1,0,99,"(271.36, -1.16, 376.28)"
Spawn Point Wander,"Spawn Point (-258.28 2.86 140.75)",1,0,99,"(-258.28, 2.86, 140.75)"
Spawn Point Wander,"Spawn Point (-111.69 0.66 -28.42)",1,0,99,"(-111.69, 0.66, -28.42)"
Spawn Point Wander,"Spawn Point (-203.63 3.37 180.78)",1,0,99,"(-203.63, 3.37, 180.78)"
Spawn Point Wander,"Spawn Point (234.75 -2.05 -103.39)",1,0,99,"(234.75, -2.05, -103.39)"
Spawn Point Wander,"Spawn Point (102.07 -1.85 -158.58)",1,0,99,"(102.07, -1.85, -158.58)"
Spawn Point Wander,"Spawn Point (-192.30 3.14 345.68)",1,0,99,"(-192.30, 3.14, 345.68)"
Spawn Point Wander,"Spawn Point (201.18 3.55 401.78)",1,0,99,"(201.18, 3.55, 401.78)"
Spawn Point Wander,"Spawn Point (-150.64 0.65 -63.38)",1,0,99,"(-150.64, 0.65, -63.38)"
Spawn Point Wander,"Spawn Point (-182.94 2.41 413.56)",1,0,99,"(-182.94, 2.41, 413.56)"
Spawn Point Wander,"Spawn Point (-152.33 0.74 -66.57)",1,0,99,"(-152.33, 0.74, -66.57)"
Spawn Point Wander,"Spawn Point (175.96 3.09 234.80)",1,0,99,"(175.96, 3.09, 234.80)"
Spawn Point Wander,"Spawn Point (-192.66 4.99 386.33)",1,0,99,"(-192.66, 4.99, 386.33)"
Spawn Point Wander,"Spawn Point (52.73 4.53 -135.65)",1,0,99,"(52.73, 4.53, -135.65)"
Spawn Point Wander,"Spawn Point (-50.88 0.67 -67.27)",1,0,99,"(-50.88, 0.67, -67.27)"
Spawn Point Wander,"Spawn Point (244.65 -5.37 28.72)",1,0,99,"(244.65, -5.37, 28.72)"
Spawn Point Wander,"Spawn Point (185.60 3.53 459.37)",1,0,99,"(185.60, 3.53, 459.37)"
Spawn Point Wander,"Spawn Point (-235.15 2.85 345.06)",1,0,99,"(-235.15, 2.85, 345.06)"
Spawn Point Wander,"Spawn Point (99.35 2.76 446.78)",1,0,99,"(99.35, 2.76, 446.78)"
Spawn Point Wander,"Spawn Point (-15.85 2.63 232.60)",1,0,99,"(-15.85, 2.63, 232.60)"
Spawn Point Wander,"Spawn Point (-161.81 14.90 -4.30)",1,0,99,"(-161.81, 14.90, -4.30)"
Spawn Point Wander,"Spawn Point (155.77 3.62 428.61)",1,0,99,"(155.77, 3.62, 428.61)"
Spawn Point Wander,"Spawn Point (41.18 28.51 -20.71)",1,0,99,"(41.18, 28.51, -20.71)"
Spawn Point Wander,"Spawn Point (-24.67 21.18 228.13)",1,0,99,"(-24.67, 21.18, 228.13)"
Spawn Point Wander,"Spawn Point (-66.00 2.70 459.75)",1,0,99,"(-66.00, 2.70, 459.75)"
Spawn Point Wander,"Spawn Point (270.52 -4.43 88.67)",1,0,99,"(270.52, -4.43, 88.67)"
Spawn Point Wander,"Spawn Point (-242.31 3.69 242.94)",1,0,99,"(-242.31, 3.69, 242.94)"
Spawn Point Wander,"Spawn Point (45.79 2.72 417.08)",1,0,99,"(45.79, 2.72, 417.08)"
Spawn Point Wander,"Spawn Point (167.70 -3.74 29.57)",1,0,99,"(167.70, -3.74, 29.57)"
Spawn Point Wander,"Spawn Point (157.00 3.62 430.76)",1,0,99,"(157.00, 3.62, 430.76)"
Spawn Point Wander,"Spawn Point (186.51 1.57 188.45)",1,0,99,"(186.51, 1.57, 188.45)"
Spawn Point Wander,"Spawn Point (186.79 3.53 454.40)",1,0,99,"(186.79, 3.53, 454.40)"
Spawn Point Wander,"Spawn Point (-106.42 0.66 -29.22)",1,0,99,"(-106.42, 0.66, -29.22)"
Spawn Point Wander,"Spawn Point (-231.99 2.20 342.49)",1,0,99,"(-231.99, 2.20, 342.49)"
Spawn Point Wander,"Spawn Point (195.24 1.24 221.27)",1,0,99,"(195.24, 1.24, 221.27)"
Spawn Point Wander,"Spawn Point (172.87 0.54 154.79)",1,0,99,"(172.87, 0.54, 154.79)"
Spawn Point Wander,"Spawn Point (-243.13 3.43 240.57)",1,0,99,"(-243.13, 3.43, 240.57)"
Spawn Point Wander,"Spawn Point (204.50 4.05 297.93)",1,0,99,"(204.50, 4.05, 297.93)"
Spawn Point Wander,"Spawn Point (-10.37 2.76 -135.41)",1,0,99,"(-10.37, 2.76, -135.41)"
Spawn Point Wander,"Spawn Point (144.93 -1.42 -42.80)",1,0,99,"(144.93, -1.42, -42.80)"
Spawn Point Wander,"Spawn Point (-180.50 2.45 419.05)",1,0,99,"(-180.50, 2.45, 419.05)"
Spawn Point Wander,"Spawn Point (233.37 -2.05 -107.12)",1,0,99,"(233.37, -2.05, -107.12)"
Spawn Point Wander,"Spawn Point (243.63 -5.37 29.31)",1,0,99,"(243.63, -5.37, 29.31)"
Spawn Point Wander,"Spawn Point (227.60 3.35 410.72)",1,0,99,"(227.60, 3.35, 410.72)"
Spawn Point Wander,"Spawn Point (-175.22 2.46 468.66)",1,0,99,"(-175.22, 2.46, 468.66)"
Spawn Point Wander,"Spawn Point (-152.77 9.67 -26.86)",1,0,99,"(-152.77, 9.67, -26.86)"
Spawn Point Wander,"Spawn Point (-61.46 2.70 457.35)",1,0,99,"(-61.46, 2.70, 457.35)"
Spawn Point Wander,"Spawn Point (-155.71 0.74 -22.78)",1,0,99,"(-155.71, 0.74, -22.78)"
Spawn Point Wander,"Spawn Point (-150.59 9.64 -23.59)",1,0,99,"(-150.59, 9.64, -23.59)"
Spawn Point Wander,"Spawn Point (78.04 2.84 286.17)",1,0,99,"(78.04, 2.84, 286.17)"
Spawn Point Wander,"Spawn Point (231.32 3.49 410.43)",1,0,99,"(231.32, 3.49, 410.43)"
Spawn Point Wander,"Spawn Point (-253.99 3.09 125.36)",1,0,99,"(-253.99, 3.09, 125.36)"
Spawn Point Wander,"Spawn Point (-47.65 0.67 -65.52)",1,0,99,"(-47.65, 0.67, -65.52)"
Spawn Point Wander,"Spawn Point (44.47 2.72 414.92)",1,0,99,"(44.47, 2.72, 414.92)"
Spawn Point Wander,"Spawn Point (244.71 -3.21 -36.95)",1,0,99,"(244.71, -3.21, -36.95)"
Spawn Point Wander,"Spawn Point (170.02 -3.74 30.06)",1,0,99,"(170.02, -3.74, 30.06)"
Spawn Point Wander,"Spawn Point (-123.55 5.10 -31.51)",1,0,99,"(-123.55, 5.10, -31.51)"
Spawn Point Wander,"Spawn Point (-234.28 2.20 342.11)",1,0,99,"(-234.28, 2.20, 342.11)"
Spawn Point Wander,"Spawn Point (200.80 3.55 405.03)",1,0,99,"(200.80, 3.55, 405.03)"
Spawn Point Wander,"Spawn Point (258.02 -1.23 357.14)",1,0,99,"(258.02, -1.23, 357.14)"
Spawn Point Wander,"Spawn Point (175.71 3.17 236.73)",1,0,99,"(175.71, 3.17, 236.73)"
Spawn Point Wander,"Spawn Point (144.58 3.53 357.88)",1,0,99,"(144.58, 3.53, 357.88)"
Spawn Point Wander,"Spawn Point (-48.55 0.67 -67.73)",1,0,99,"(-48.55, 0.67, -67.73)"
Spawn Point Wander,"Spawn Point (179.06 3.05 233.03)",1,0,99,"(179.06, 3.05, 233.03)"
Spawn Point Wander,"Spawn Point (-226.57 5.26 279.07)",1,0,99,"(-226.57, 5.26, 279.07)"
Spawn Point Wander,"Spawn Point (-65.73 2.70 457.56)",1,0,99,"(-65.73, 2.70, 457.56)"
Spawn Point Wander,"Spawn Point (-80.18 0.94 74.08)",1,0,99,"(-80.18, 0.94, 74.08)"
Spawn Point Wander,"Spawn Point (-29.74 5.15 -64.77)",1,0,99,"(-29.74, 5.15, -64.77)"
Spawn Point Wander,"Spawn Point (211.91 -0.33 343.20)",1,0,99,"(211.91, -0.33, 343.20)"
Spawn Point Wander,"Spawn Point (-50.97 5.15 -29.55)",1,0,99,"(-50.97, 5.15, -29.55)"
Spawn Point Wander,"Spawn Point (272.02 -1.16 375.37)",1,0,99,"(272.02, -1.16, 375.37)"
Spawn Point Wander,"Spawn Point (-46.11 0.62 -67.66)",1,0,99,"(-46.11, 0.62, -67.66)"
Spawn Point Wander,"Spawn Point (257.34 -5.94 50.96)",1,0,99,"(257.34, -5.94, 50.96)"
Spawn Point Wander,"Spawn Point (170.34 -1.45 -129.29)",1,0,99,"(170.34, -1.45, -129.29)"
Spawn Point Wander,"Spawn Point (-52.28 -0.18 386.27)",1,0,99,"(-52.28, -0.18, 386.27)"
Spawn Point Wander,"Spawn Point (-100.35 2.32 268.45)",1,0,99,"(-100.35, 2.32, 268.45)"
Spawn Point Wander,"Spawn Point (76.03 -0.63 88.47)",1,0,99,"(76.03, -0.63, 88.47)"
Spawn Point Wander,"Spawn Point (114.48 0.92 189.07)",1,0,99,"(114.48, 0.92, 189.07)"
Spawn Point Wander,"Spawn Point (-188.92 3.14 340.45)",1,0,99,"(-188.92, 3.14, 340.45)"
Spawn Point Wander,"Spawn Point (-176.32 1.22 106.89)",1,0,99,"(-176.32, 1.22, 106.89)"
Spawn Point Wander,"Spawn Point (209.38 4.05 298.75)",1,0,99,"(209.38, 4.05, 298.75)"
Spawn Point Wander,"Spawn Point (205.63 3.94 296.40)",1,0,99,"(205.63, 3.94, 296.40)"
Spawn Point Wander,"Spawn Point (44.83 0.27 -36.85)",1,0,99,"(44.83, 0.27, -36.85)"
